id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13478868,Brighton-Allston quiet neighborhood/furnished,77158766,Eunice,,Brighton,42.35887,-71.14571,Private room,41,91,7,2019-12-20,0.10,5,365,0,
13494185,Montgomery Place - Parlor Room (Room 2),75997654,Kathe,,South End,42.34382,-71.07368,Entire home/apt,75,29,171,2021-10-30,2.59,3,137,6,
13510994,Incredible Apartment,28749942,Lorena & Ivan (Myhomelike),,South Boston Waterfront,42.35065,-71.04466,Entire home/apt,175,91,24,2017-11-05,0.36,4,0,0,
13530359,Summer sublet in Allston (from 05/14),40220824,Gerard,,Allston,42.35398,-71.12871,Private room,42,91,1,2016-09-02,0.02,1,0,0,
13546414,Walk To Beach or City 2 - Spacious Room,30342817,Piter & Stacy,,Dorchester,42.31778,-71.05794,Private room,51,29,270,2020-11-04,4.06,5,352,0,Str416603
13555596,Beautifully renovated one bedroom,9974234,Richard,,South Boston,42.3377,-71.02886,Entire home/apt,100,91,1,2016-08-18,0.02,1,0,0,
13578425,"Small Room near Redline & Commuter Rail, Renovated",18517776,Huggy,,Dorchester,42.30536,-71.07221,Private room,37,150,2,2017-11-23,0.03,31,365,0,
13594886,"Modern Guest Room, Private Bath near airport/city",5997103,Andrea And Tivan,,East Boston,42.36813,-71.03471,Private room,118,1,551,2020-10-04,8.29,2,0,0,STR-391653
13613229,~*30min to Downtown*~ THE COSMOPOLITAN,14016102,Jovan,,Hyde Park,42.26169,-71.11564,Entire home/apt,92,2,192,2021-12-06,3.37,3,322,30,STR-443131
13613812,A Very Large Room - Lt Green Room,18479599,Agnieszka,,Dorchester,42.32445,-71.05828,Private room,165,91,0,,,8,365,0,
13650313,Luxury 1 Bedroom in Heart of Back Bay,22541573,Ken,,Fenway,42.34578,-71.08784,Entire home/apt,140,32,5,2019-08-10,0.08,27,326,0,
13656969,Brighton - Cozy and Quiet Room in a Clean House,77158766,Eunice,,Brighton,42.36055,-71.14356,Private room,40,91,7,2019-08-17,0.11,5,365,0,
13657486,"Large, modern 2br, 2ba renovated 6/16 with patio",79348179,Jeff,,Downtown,42.34923,-71.05648,Entire home/apt,3999,180,4,2016-08-26,0.06,1,363,0,
13672165,"Open, light-filled condo in South Boston/South End",15166663,Tomo,,South Boston,42.34131,-71.05361,Entire home/apt,125,91,0,,,1,0,0,
13675884,Near Redline & Commuter Rail Renovated Clean Sunny,18517776,Huggy,,Dorchester,42.30536,-71.07221,Private room,38,150,2,2016-10-09,0.03,31,365,0,
13684319,Quiet room Peaceful neighborhood Close to Harvard,77158766,Eunice,,Brighton,42.36089,-71.14519,Private room,40,91,8,2019-12-20,0.12,5,365,0,
13697676,Calm and cozy room in clean Apt,16052189,Jonathan,,Hyde Park,42.23543,-71.13076,Private room,28,91,11,2020-11-25,0.19,5,301,0,
13719227,Peaceful neighborhood Quiet room Close to Harvard,77158766,Eunice,,Brighton,42.36092,-71.14363,Private room,40,91,6,2019-06-01,0.09,5,365,0,
13796564,Marie's Pied a Terre,81103542,Marie,,Roxbury,42.32248,-71.0806,Private room,75,91,4,2016-09-22,0.06,1,0,0,
13797162,Sunny Artist Loft In Historic Brownstone,189855,Marla,,Roxbury,42.32203,-71.07695,Entire home/apt,150,7,140,2021-11-30,2.13,1,44,4,STR-446252
13810937,1 Bedroom in Beacon Hill,15681500,Jay,,West End,42.36187,-71.06837,Private room,85,91,2,2016-07-17,0.03,1,0,0,
13829133,Sunny studio in JP!,45771009,Riyo,,Jamaica Plain,42.31642,-71.10672,Entire home/apt,98,5,236,2021-12-08,3.78,2,250,19,STR-383177
13830152,Room w/fast wifi-next to T stop 10 min to downtown,21745230,Jurek,,Charlestown,42.38199,-71.07675,Private room,59,29,30,2020-12-02,0.46,11,130,0,
13863117,Cozy room(A) near T and downtown Boston,19008767,Ellen,,South Boston,42.33888,-71.04897,Private room,89,61,28,2021-08-07,0.42,5,164,2,STR-391602
13864415,"Comfy room (C) near T, convention center, downtown",19008767,Ellen,,South Boston,42.34041,-71.04984,Private room,99,91,36,2021-08-22,0.55,5,197,1,STR-391602
13866351,Beautiful and Cozy Entire Apt in Boston,45694133,Dawn,,Dorchester,42.30003,-71.0788,Entire home/apt,185,5,71,2021-11-29,1.40,2,341,7,STR-394281
13907143,Bright and very spacious private room,3155386,Lissette,,Hyde Park,42.23627,-71.12898,Private room,42,91,7,2016-10-04,0.11,1,0,0,
13908031,"Modern Room, Private Bath near airport & city",5997103,Andrea And Tivan,,East Boston,42.3675,-71.03361,Private room,105,1,142,2020-02-15,2.15,2,0,0,STR-391653
13924495,"4B2B Near T, Boston downtown, Convention Center",19008767,Ellen,,South Boston,42.33939,-71.05072,Entire home/apt,550,29,42,2019-09-26,0.65,5,292,0,STR-391602
13926284,"Beacon Hill Apt, close to Red line and Downtown",62271680,Agathe & Morgan,,Beacon Hill,42.35914,-71.06914,Entire home/apt,150,91,2,2016-08-15,0.03,1,0,0,
13951579,TWO FLOOR CONDO W/ PRIVATE DECK & ROOF DECK,73203009,Alex,,Charlestown,42.38421,-71.07057,Entire home/apt,153,91,17,2017-11-19,0.31,1,0,0,
13959444,Beautiful Boston Brownstone,21609039,Susan,,Roxbury,42.34042,-71.08363,Entire home/apt,389,29,57,2020-11-20,0.87,3,318,0,Exempt: This listing is a unit used for furnished institutional or business stays
13978700,Luxury Sunny Hill Suite G 3,14785487,Aihua,,Roxbury,42.30958,-71.08658,Entire home/apt,450,31,10,2021-06-26,0.16,5,365,1,
13993185,Charming Beacon Hill One Bedroom,83554697,Ashley,,Beacon Hill,42.35948,-71.06747,Entire home/apt,90,29,216,2021-05-22,3.28,1,169,3,
14035943,Gorgeous Rare 3BR/3BA duplex /Parking. Heart of Boston M1g,5578043,Dror,,North End,42.36424,-71.0526,Entire home/apt,395,1,153,2021-12-12,2.47,4,257,38,STR-406255
